pedido_id,fecha,cliente_id,producto,cantidad,precio_unit,descuento
1,2025-01-15,118.0,D,2,75.0,
2,2025-01-22,128.0,B,2,40.0,
3,2025-01-10,116.0,D,1,75.0,
4,2025-01-21,121.0,B,1,40.0,
5,2025-01-28,113.0,A,1,50.0,
6,2025-01-24,111.0,C,1,200.0,
7,2025-01-03,128.0,B,1,40.0,
8,2025-01-09,116.0,E,3,30.0,
9,2025-01-22,105.0,C,1,200.0,
10,2025-01-23,109.0,B,2,40.0,
11,2025-01-19,,A,4,50.0,
12,2025-01-04,113.0,C,5,200.0,
13,2025-01-07,127.0,B,5,40.0,
14,2025-01-21,112.0,D,3,75.0,
15,2025-01-23,101.0,A,1,50.0,
16,2025-01-25,107.0,C,1,200.0,
17,2025-01-01,115.0,C,1,200.0,
18,2025-01-17,107.0,B,3,40.0,
19,2025-01-17,102.0,B,4,,
20,2025-01-05,102.0,E,4,30.0,
21,2025-01-06,111.0,C,1,200.0,
22,2025-01-24,122.0,C,1,200.0,
23,2025-01-27,128.0,D,3,75.0,
24,2025-01-19,126.0,A,2,50.0,
25,2025-01-11,128.0,B,3,40.0,
26,2025-01-16,117.0,B,1,,
27,2025-01-12,123.0,A,1,50.0,
28,2025-01-16,122.0,A,4,,
29,2025-01-08,103.0,A,3,50.0,
30,2025-01-18,122.0,C,5,200.0,
31,2025-02-01,,E,4,30.0,
32,2025-02-08,101.0,D,3,75.0,
33,2025-02-23,106.0,E,3,30.0,
34,2025-02-27,101.0,D,1,75.0,
35,2025-02-16,126.0,A,4,50.0,
36,2025-02-14,109.0,E,5,30.0,
37,2025-02-21,120.0,E,5,30.0,
38,2025-02-01,126.0,B,2,40.0,
39,2025-02-14,,B,3,40.0,
40,2025-02-26,111.0,E,2,30.0,
41,2025-02-03,107.0,A,4,50.0,
42,2025-02-01,,D,3,75.0,
43,2025-02-28,122.0,C,1,200.0,
44,2025-02-22,127.0,C,4,200.0,
45,2025-02-08,105.0,D,5,75.0,
46,2025-02-15,126.0,B,4,40.0,
47,2025-02-19,123.0,B,5,40.0,
48,2025-02-23,101.0,B,2,40.0,
49,2025-02-02,126.0,E,5,30.0,
50,2025-02-07,123.0,C,4,200.0,
51,2025-02-19,127.0,D,5,,
52,2025-02-14,127.0,B,5,40.0,
53,2025-02-01,110.0,E,4,,
54,2025-02-10,101.0,E,5,30.0,
55,2025-02-24,120.0,D,2,75.0,
56,2025-02-01,105.0,D,3,75.0,
57,2025-02-08,126.0,D,2,,
58,2025-02-18,126.0,B,2,,
59,2025-02-02,121.0,B,5,40.0,
60,2025-02-24,125.0,D,2,75.0,
61,2025-03-24,116.0,D,2,75.0,5.0
62,2025-03-23,117.0,E,1,30.0,0.0
63,2025-03-17,122.0,E,3,,0.0
64,2025-03-09,114.0,D,3,75.0,0.0
65,2025-03-05,121.0,D,5,75.0,10.0
66,2025-03-13,114.0,B,5,40.0,5.0
67,2025-03-11,127.0,B,4,40.0,10.0
68,2025-03-14,127.0,C,2,,5.0
69,2025-03-06,101.0,D,1,75.0,20.0
70,2025-03-04,119.0,E,4,30.0,0.0
71,2025-03-26,113.0,E,2,30.0,0.0
72,2025-03-28,107.0,A,3,50.0,20.0
73,2025-03-28,106.0,E,2,,20.0
74,2025-03-15,111.0,D,5,75.0,5.0
75,2025-03-25,114.0,A,5,50.0,0.0
76,2025-03-23,,D,2,75.0,15.0
77,2025-03-12,104.0,B,2,40.0,0.0
78,2025-03-05,122.0,A,1,50.0,10.0
79,2025-03-28,128.0,E,2,30.0,5.0
80,2025-03-25,118.0,C,5,200.0,0.0
81,2025-03-22,117.0,C,5,200.0,0.0
82,2025-03-27,102.0,A,3,,0.0
83,2025-03-23,105.0,C,5,200.0,10.0
84,2025-03-10,114.0,A,1,50.0,5.0
85,2025-03-01,108.0,B,2,40.0,10.0
