pedido_id,fecha,cliente_id,producto,cantidad,precio_unit
1,2025-01-15,118.0,D,2,75.0
2,2025-01-22,128.0,B,2,40.0
3,2025-01-10,116.0,D,1,75.0
4,2025-01-21,121.0,B,1,40.0
5,2025-01-28,113.0,A,1,50.0
6,2025-01-24,111.0,C,1,200.0
7,2025-01-03,128.0,B,1,40.0
8,2025-01-09,116.0,E,3,30.0
9,2025-01-22,105.0,C,1,200.0
10,2025-01-23,109.0,B,2,40.0
11,2025-01-19,,A,4,50.0
12,2025-01-04,113.0,C,5,200.0
13,2025-01-07,127.0,B,5,40.0
14,2025-01-21,112.0,D,3,75.0
15,2025-01-23,101.0,A,1,50.0
16,2025-01-25,107.0,C,1,200.0
17,2025-01-01,115.0,C,1,200.0
18,2025-01-17,107.0,B,3,40.0
19,2025-01-17,102.0,B,4,
20,2025-01-05,102.0,E,4,30.0
21,2025-01-06,111.0,C,1,200.0
22,2025-01-24,122.0,C,1,200.0
23,2025-01-27,128.0,D,3,75.0
24,2025-01-19,126.0,A,2,50.0
25,2025-01-11,128.0,B,3,40.0
26,2025-01-16,117.0,B,1,
27,2025-01-12,123.0,A,1,50.0
28,2025-01-16,122.0,A,4,
29,2025-01-08,103.0,A,3,50.0
30,2025-01-18,122.0,C,5,200.0
